"taskid","replications","replications_used","parnames","method","default_priors","n","time","mean","median","sd","ll","ul","rhat","ess_bulk","ess_tail","mcse_mean","mcse_median","mcse_ll","mcse_ul","summary_output_type"
9,10,9,"mean(beta[1,2])","BMLVAR",TRUE,200,200,0.131375154777778,0.131394444444444,0.0119082911377535,0.108002027777778,0.154675611111111,1.0000264441759,28507.9418455073,35603.6345614591,7.05327703902908e-05,8.16666666666651e-05,0.000173888888888889,0.000177222222222224,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[2,2])","BMLVAR",TRUE,200,200,0.290099269694444,0.290128333333333,0.0121066526160811,0.266207694444444,0.313786722222222,1.00002245400471,28395.2760075529,35807.6142108419,7.18469613020907e-05,8.33333333333334e-05,0.000181666666666668,0.000178888888888892,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[3,2])","BMLVAR",TRUE,200,200,0.116161467055556,0.116153333333333,0.0124279773522077,0.0918431666666667,0.140540083333333,1.00002116072687,29256.794194225,35331.3940876758,7.26471570429555e-05,9.00000000000006e-05,0.000166666666666667,0.000174444444444445,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[4,2])","BMLVAR",TRUE,200,200,0.187914120972222,0.187925555555556,0.0122943634130768,0.163783194444444,0.212098972222222,1.00005064875303,28756.7387932669,35524.3653027559,7.24736816714963e-05,8.50000000000002e-05,0.000181111111111112,0.000177222222222224,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[1,3])","BMLVAR",TRUE,200,200,0.117780208694444,0.117794444444444,0.0120182026032581,0.0942332222222222,0.141344555555556,1.00004906869591,28181.2431748016,35230.2568881592,7.15452571580786e-05,8.61111111111101e-05,0.000175,0.00017111111111111,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[2,3])","BMLVAR",TRUE,200,200,0.148327796444444,0.148305555555556,0.0122007437056013,0.124422138888889,0.17230125,1.0000372169974,27828.6246813963,35344.5094204689,7.3137918428132e-05,8.83333333333338e-05,0.000175000000000002,0.000180555555555557,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[3,3])","BMLVAR",TRUE,200,200,0.298090685305556,0.298112222222222,0.0123082491338895,0.273908611111111,0.322176888888889,1.00002590160817,28508.9268216708,35607.3348844725,7.28973566852308e-05,8.94444444444475e-05,0.000189444444444443,0.000173333333333337,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[4,3])","BMLVAR",TRUE,200,200,0.13114848475,0.131146666666667,0.0116332145775002,0.108376527777778,0.154014472222222,1.00007234743628,27346.84044026,34845.9313688938,7.03354901621807e-05,8.44444444444433e-05,0.000163888888888888,0.000172777777777778,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[1,4])","BMLVAR",TRUE,200,200,0.05927936225,0.0592855555555556,0.0122938893379088,0.0351131944444444,0.0833913055555556,1.00000346960068,29724.4925454594,36125.7686511005,7.13124038819497e-05,8.44444444444441e-05,0.000186111111111111,0.000171666666666667,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[2,4])","BMLVAR",TRUE,200,200,0.183092626305556,0.183087777777778,0.0118499030152521,0.1598355,0.206323416666667,1.00008746377308,29232.1579418443,35855.9093662878,6.92929795226003e-05,8.22222222222212e-05,0.000154444444444448,0.000168888888888885,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[3,4])","BMLVAR",TRUE,200,200,0.0803485985555556,0.0803405555555556,0.0119757746153435,0.0568676666666667,0.103839055555556,1.00002439750542,29983.8792848261,35707.7201830797,6.91455561092018e-05,8.05555555555548e-05,0.000176111111111111,0.000167222222222221,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(beta[4,4])","BMLVAR",TRUE,200,200,0.394282927888889,0.394299444444444,0.0119705785552207,0.370723222222222,0.417709055555556,1.00001579503051,29268.3403993282,36040.7439451813,6.99749702535991e-05,8.22222222222274e-05,0.000169444444444441,0.00017111111111111,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(mu[1,1])","BMLVAR",TRUE,200,200,-0.00851459708333333,-0.00853333333333333,0.0158676080193085,-0.0395946388888889,0.0226390555555556,1.00011977194988,9058.10465353208,18825.2139189261,0.000166949167872957,0.000176666666666666,0.000302222222222222,0.000281666666666667,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(mu[2,1])","BMLVAR",TRUE,200,200,-0.00309240288888889,-0.00307388888888889,0.0155938159547252,-0.0337745555555556,0.0275113055555556,1.0001800953837,9150.51332106396,19159.3609768687,0.000163109854786467,0.000180555555555556,0.000274444444444445,0.000273333333333334,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(mu[3,1])","BMLVAR",TRUE,200,200,0.00311707913888889,0.00308333333333333,0.0159116206954815,-0.0280180277777778,0.0343079444444445,1.00015690552564,11114.4843581807,21965.9271074014,0.000151331669355134,0.000163333333333333,0.000274444444444444,0.000256111111111111,"summary-fit-mplus-k4-diagnostics"
9,10,9,"mean(mu[4,1])","BMLVAR",TRUE,200,200,0.0106543638611111,0.0106666666666667,0.0171546879958891,-0.0231068055555556,0.0442780277777778,1.00023611342173,7204.60191298184,15114.0605629918,0.000202687586425798,0.000219444444444445,0.000356111111111111,0.00035,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[1,1],beta[1,1])","BMLVAR",TRUE,200,200,0.0244394268611111,0.0242477777777778,0.0028814353016114,0.01934775,0.0306322777777778,1.0000848761652,22966.3679694525,31797.422384221,1.89188907605417e-05,2.11111111111112e-05,3.16666666666666e-05,5.1111111111111e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[2,1],beta[2,1])","BMLVAR",TRUE,200,200,0.0252994227222222,0.0250988888888889,0.00299542373513309,0.0200166388888889,0.0317478888888889,1.00009935207445,22765.3567312131,31553.1623659359,1.97708806998883e-05,2.22222222222217e-05,3.3888888888889e-05,5.72222222222226e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[3,1],beta[3,1])","BMLVAR",TRUE,200,200,0.0255644049722222,0.0253644444444444,0.00303711004425519,0.0201966111111111,0.0320867222222222,1.00007086986534,22657.7066301742,31425.4209338298,2.00733203183225e-05,2.33333333333332e-05,3.55555555555555e-05,5.50000000000007e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[4,1],beta[4,1])","BMLVAR",TRUE,200,200,0.0250376488055556,0.0248277777777778,0.00297497629479522,0.0197910833333333,0.0314289166666667,1.0000194775972,22494.8175841473,31499.1040511173,1.97149463064199e-05,2.27777777777778e-05,3.05555555555559e-05,5.66666666666671e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[1,2],beta[1,2])","BMLVAR",TRUE,200,200,0.0238922758055556,0.0237061111111111,0.00288089791159179,0.0188022222222222,0.0300856111111111,1.00002231745064,21510.8921374727,30669.8346820655,1.95490987471658e-05,2.22222222222223e-05,3.22222222222226e-05,5.2222222222222e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[2,2],beta[2,2])","BMLVAR",TRUE,200,200,0.0246706931944444,0.0244722222222222,0.00292755295415821,0.0194988888888889,0.0309600277777778,1.00003943484615,22634.1275740799,31026.3114538064,1.9342702887987e-05,2.2777777777778e-05,3.55555555555556e-05,5.38888888888888e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[3,2],beta[3,2])","BMLVAR",TRUE,200,200,0.0263962443888889,0.0261866666666667,0.0031392400201688,0.0208577222222222,0.0331533333333333,1.00004821852693,22622.8616551124,31919.5556518754,2.07717524497284e-05,2.4444444444444e-05,3.55555555555555e-05,6.27777777777779e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[4,2],beta[4,2])","BMLVAR",TRUE,200,200,0.0258637297777778,0.0256588888888889,0.00307259728581257,0.0204287777777778,0.0324733611111111,1.00003474419051,22304.681866797,31301.0393184801,2.04188316441103e-05,2.44444444444446e-05,3.33333333333335e-05,5.44444444444442e-05,"summary-fit-mplus-k4-diagnostics"
