"taskid","replications","replications_used","parnames","parameter","method","n","time","heterogeneity","ci","est","se","z","p","ll","ul","sig","zero_hit","theta_hit","sq_error","bias","rel_bias","se_bias","rel_se_bias","rmse","coverage","rejection_rate","power","type1_error","success_rate","n_bias","n_rmse","n_coverage","n_rejection","mcse_bias","mcse_rmse","mcse_coverage","mcse_rejection_rate","mcse_power","mcse_type1_error","summary_output_type"
29,10,10,"tau_sqr[5,5]",0,"MetaVAR",100,100,0,"Robust",0.000794989666145091,0.000845658927595412,0.851470667311042,0.429128153540655,-0.000862471375146681,0.00245245070743686,0,1,1,9.55814820849266e-07,0.000794989666145091,,0.000245838351115538,0.409853147349952,0.000977657824010664,1,0,,0,1,10,10,10,10,0.000189679920911162,0.000250373455686931,0,0,,0,"summary-fit-meta-var-mx-robust"
29,10,10,"tau_sqr[6,5]",0,"MetaVAR",100,100,0,"Robust",0.000492349862730573,0.000739244995069456,0.365865956836091,0.472861960424624,-0.000956543703357051,0.0019412434288182,0,1,1,5.72130351351195e-07,0.000492349862730573,,0.000133970067618778,0.22133754686162,0.000756392987375739,1,0,,0,1,10,10,10,10,0.000191404738133732,0.00015230628185713,0,0,,0,"summary-fit-meta-var-mx-robust"
29,10,10,"tau_sqr[6,6]",0,"MetaVAR",100,100,0,"Robust",0.00119384095084612,0.00106573418838294,1.03216012666666,0.354184564365651,-0.000894959675477455,0.00328264157716971,0,1,1,2.18446892660688e-06,0.00119384095084612,,0.000147273694652201,0.160348426151661,0.00147799490073778,1,0,,0,1,10,10,10,10,0.000290442710107192,0.000280281799874044,0,0,,0,"summary-fit-meta-var-mx-robust"
29,10,8,"alpha[1,1]",2.87,"Naive",100,100,0,"Normal",2.8868848254352,0.109291154213128,26.5305911227151,2.6709235808353e-121,2.67267809934866,3.10109155152174,1,0,0.875,0.0178045003646227,0.0168848254352017,0.00588321443735251,-0.0322085804040711,-0.227622903259893,0.133433505404837,0.875,1,1,,0.8,8,8,8,8,0.050027710941959,0.0330674970849886,0.116926793336686,0,0,,"summary-fit-meta-var-mx-naive"
29,10,8,"alpha[2,1]",2.04,"Naive",100,100,0,"Normal",2.08606086210886,0.105578584900156,19.8691634589121,3.84491060933814e-61,1.87913063816585,2.29299108605187,1,0,1,0.014831246753871,0.0460608621088584,0.0225788539749306,-0.0149423972003403,-0.123981707914399,0.12178360626074,1,1,1,,0.8,8,8,8,8,0.0426106018592618,0.0153783734452373,0,0,0,,"summary-fit-meta-var-mx-naive"
29,10,8,"alpha[3,1]",0.28,"Naive",100,100,0,"Normal",0.266088144097891,0.0105669721538916,25.2907777503953,8.51977574614494e-123,0.245377259250626,0.286799028945157,1,0,0.625,0.00027834568010011,-0.0139118559021085,-0.0496851996503876,0.000722121696690031,0.073350194584398,0.0166836950373744,0.625,1,1,,0.8,8,8,8,8,0.00348068025902734,0.00330261884294628,0.171163299220364,0,0,,"summary-fit-meta-var-mx-naive"
29,10,8,"alpha[4,1]",-0.035,"Naive",100,100,0,"Normal",-0.0281156432843867,0.0119284589788737,-2.38153029892031,0.100384584751117,-0.0514949932740427,-0.00473629329473075,0.75,0.25,1,0.000239599563546123,0.00688435671561329,-0.19669590616038,-0.0028925761173598,-0.195166943373266,0.0154790039584633,1,0.75,0.75,,0.8,8,8,8,8,0.00524002721037528,0.00301977073925797,0,0.153093108923949,0.153093108923949,,"summary-fit-meta-var-mx-naive"
29,10,8,"alpha[5,1]",-0.048,"Naive",100,100,0,"Normal",-0.0462710621543792,0.00942989907901673,-4.92438102370738,0.000152654019133305,-0.0647533247270994,-0.027788799581659,1,0,1,8.68783081093784e-05,0.0017289378456208,-0.0360195384504334,-0.000361588888184081,-0.0369289008366572,0.00932085340027287,1,1,1,,0.8,8,8,8,8,0.00346181376975709,0.00174918877969151,0,0,0,,"summary-fit-meta-var-mx-naive"
29,10,8,"alpha[6,1]",0.26,"Naive",100,100,0,"Normal",0.238206502550344,0.0104046982944173,23.0165573526279,5.81117082594293e-82,0.217813668623281,0.258599336477408,1,0,0.375,0.000572332025149101,-0.0217934974496556,-0.0838211440371368,-0.000144532906329431,-0.0137007999520572,0.0239234618136486,0.375,1,1,,0.8,8,8,8,8,0.00372971645917635,0.00330093948005558,0.171163299220364,0,0,,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[1,1]",1.2,"Naive",100,100,0,"Normal",1.19790446270083,0.169408661169966,7.07109487976606,1.53715993431079e-12,0.865869588138544,1.52993933726311,1,0,1,0.0166303614150584,-0.00209553729917369,-0.00174628108264474,0.0315641519224138,0.228983744762212,0.128958758582186,1,1,1,,0.8,8,8,8,8,0.048735393619138,0.0268598533317422,0,0,0,,"summary-fit-meta-var-mx-naive"
